c,x,y,z,c2,x2,y2,z2
#007137,0.227,-0.381,0.443,#b21a02,0.099,0.683,0.699
#e0b009,0.613,0.579,0.878,#02682b,0.232,-0.325,0.409
#e1b00d,0.599,0.576,0.882,#013f9b,-0.353,-0.493,0.61
#e3b005,0.629,0.602,0.89,#d2a309,0.568,0.55,0.826
#002b79,-0.297,-0.37,0.475,,,,
#ddad0b,0.595,0.569,0.867,,,,
#0056b6,-0.374,-0.608,0.714,,,,
#001f53,-0.199,-0.258,0.325,,,,
#bc7f07,0.454,0.545,0.737,,,,
#035626,0.185,-0.268,0.337,,,,
#b97f0a,0.442,0.525,0.725,,,,
#001e59,-0.223,-0.268,0.349,,,,
#bd1d00,0.119,0.732,0.741,,,,
#0756b2,-0.358,-0.567,0.698,,,,
#bc1d00,0.119,0.728,0.737,,,,
#bb1d00,0.119,0.724,0.733,,,,
#b21d00,0.119,0.688,0.698,,,,
#ba1d00,0.119,0.72,0.729,,,,
#4f0700,0.029,0.308,0.31,,,,
#d9a908,0.592,0.567,0.851,,,,
#ad2009,0.094,0.636,0.678,,,,
#0051ba,-0.407,-0.606,0.729,,,,
#0151ba,-0.406,-0.601,0.729,,,,
#003f96,-0.336,-0.483,0.588,,,,
#a31d08,0.086,0.602,0.639,,,,
#d7ad03,0.619,0.555,0.843,,,,
#005d29,0.202,-0.304,0.365,,,,
#390400,0.016,0.223,0.224,,,,
#001c4e,-0.19,-0.24,0.306,,,,
#9f1d08,0.086,0.586,0.624,,,,
#9a1d08,0.086,0.566,0.604,,,,
#9d1c06,0.09,0.585,0.616,,,,
#003c9a,-0.36,-0.485,0.604,,,,
#b8260a,0.114,0.673,0.722,,,,
#d21d00,0.119,0.815,0.824,,,,
#018736,0.311,-0.424,0.529,,,,
#00873a,0.298,-0.438,0.529,,,,
#cb1d00,0.119,0.787,0.796,,,,
#400500,0.021,0.25,0.251,,,,
#8b1d0c,0.07,0.493,0.545,,,,
#005b27,0.201,-0.295,0.357,,,,
#d5a90c,0.575,0.539,0.835,,,,
#c51d04,0.102,0.75,0.773,,,,
#bd1c02,0.106,0.726,0.741,,,,
#d2a204,0.581,0.561,0.824,,,,
#002a67,-0.235,-0.329,0.404,,,,
#8d1c0a,0.074,0.508,0.553,,,,
#be1900,0.102,0.738,0.745,,,,
#001a57,-0.229,-0.253,0.341,,,,
#deb318,0.568,0.53,0.871,,,,
#b11900,0.102,0.687,0.694,,,,
#297fce,-0.311,-0.567,0.808,,,,
#d5a200,0.597,0.584,0.835,,,,
#247fdd,-0.368,-0.625,0.867,,,,
#1f7fc7,-0.286,-0.594,0.78,,,,
#004db4,-0.398,-0.583,0.706,,,,
#1c7fcf,-0.317,-0.626,0.812,,,,
#c92009,0.094,0.747,0.788,,,,
#af1900,0.102,0.679,0.686,,,,
#a71900,0.102,0.647,0.655,,,,
#a01904,0.086,0.606,0.627,,,,
#0b7f3c,0.259,-0.374,0.498,,,,
#0a7f3f,0.249,-0.386,0.498,,,,
#077f3a,0.267,-0.388,0.498,,,,
#067f40,0.246,-0.406,0.498,,,,
#037fda,-0.362,-0.762,0.855,,,,
#017f3b,0.265,-0.417,0.498,,,,
#007fdc,-0.37,-0.78,0.863,,,,
#0158c1,-0.408,-0.633,0.757,,,,
